STAC Field,TM Field,ETM+ Field,OLI_TIRS Field
,,"    QUANTIZE_CAL_MAX_BAND_8 = 255","    QUANTIZE_CAL_MAX_BAND_8 = 65535"
,,"    QUANTIZE_CAL_MIN_BAND_8 = 1","    QUANTIZE_CAL_MIN_BAND_8 = 1"
,,,"    QUANTIZE_CAL_MAX_BAND_9 = 65535"
,,,"    QUANTIZE_CAL_MIN_BAND_9 = 1"
,,,"    QUANTIZE_CAL_MAX_BAND_10 = 65535"
,,,"    QUANTIZE_CAL_MIN_BAND_10 = 1"
,,,"    QUANTIZE_CAL_MAX_BAND_11 = 65535"
,,,"    QUANTIZE_CAL_MIN_BAND_11 = 1"
,"  END_GROUP = LEVEL1_MIN_MAX_PIXEL_VALUE","  END_GROUP = LEVEL1_MIN_MAX_PIXEL_VALUE","  END_GROUP = LEVEL1_MIN_MAX_PIXEL_VALUE"
,"  GROUP = LEVEL1_RADIOMETRIC_RESCALING","  GROUP = LEVEL1_RADIOMETRIC_RESCALING","  GROUP = LEVEL1_RADIOMETRIC_RESCALING"
,"    RADIANCE_MULT_BAND_1 = 7.6583E-01","    RADIANCE_MULT_BAND_1 = 7.7874E-01","    RADIANCE_MULT_BAND_1 = 1.2355E-02"
,"    RADIANCE_MULT_BAND_2 = 1.4482E+00","    RADIANCE_MULT_BAND_2 = 7.9882E-01","    RADIANCE_MULT_BAND_2 = 1.2652E-02"
,"    RADIANCE_MULT_BAND_3 = 1.0440E+00","    RADIANCE_MULT_BAND_3 = 6.2165E-01","    RADIANCE_MULT_BAND_3 = 1.1658E-02"
,"    RADIANCE_MULT_BAND_4 = 8.7602E-01","    RADIANCE_MULT_BAND_4 = 9.6929E-01","    RADIANCE_MULT_BAND_4 = 9.8310E-03"
,"    RADIANCE_MULT_BAND_5 = 1.2035E-01","    RADIANCE_MULT_BAND_5 = 1.2622E-01","    RADIANCE_MULT_BAND_5 = 6.0161E-03"
,"    RADIANCE_MULT_BAND_6 = 5.5375E-02",,"    RADIANCE_MULT_BAND_6 = 1.4961E-03"
,,"    RADIANCE_MULT_BAND_6_VCID_1 = 6.7087E-02",
,,"    RADIANCE_MULT_BAND_6_VCID_2 = 3.7205E-02",
,"    RADIANCE_MULT_BAND_7 = 6.5551E-02","    RADIANCE_MULT_BAND_7 = 4.3898E-02","    RADIANCE_MULT_BAND_7 = 5.0428E-04"
,,"    RADIANCE_MULT_BAND_8 = 9.7559E-01","    RADIANCE_MULT_BAND_8 = 1.1126E-02"
,,,"    RADIANCE_MULT_BAND_9 = 2.3512E-03"
,,,"    RADIANCE_MULT_BAND_10 = 3.3420E-04"
,,,"    RADIANCE_MULT_BAND_11 = 3.3420E-04"
,"    RADIANCE_ADD_BAND_1 = -2.28583","    RADIANCE_ADD_BAND_1 = -6.97874","    RADIANCE_ADD_BAND_1 = -61.77469"
,"    RADIANCE_ADD_BAND_2 = -4.28819","    RADIANCE_ADD_BAND_2 = -7.19882","    RADIANCE_ADD_BAND_2 = -63.25803"
,"    RADIANCE_ADD_BAND_3 = -2.21398","    RADIANCE_ADD_BAND_3 = -5.62165","    RADIANCE_ADD_BAND_3 = -58.29174"
,"    RADIANCE_ADD_BAND_4 = -2.38602","    RADIANCE_ADD_BAND_4 = -6.06929","    RADIANCE_ADD_BAND_4 = -49.15488"
,"    RADIANCE_ADD_BAND_5 = -0.49035","    RADIANCE_ADD_BAND_5 = -1.12622","    RADIANCE_ADD_BAND_5 = -30.08033"
,"    RADIANCE_ADD_BAND_6 = 1.18243",,"    RADIANCE_ADD_BAND_6 = -7.48071"
,,"    RADIANCE_ADD_BAND_6_VCID_1 = -0.06709",
,,"    RADIANCE_ADD_BAND_6_VCID_2 = 3.16280",
,"    RADIANCE_ADD_BAND_7 = -0.21555","    RADIANCE_ADD_BAND_7 = -0.39390","    RADIANCE_ADD_BAND_7 = -2.52140"
,,"    RADIANCE_ADD_BAND_8 = -5.67559","    RADIANCE_ADD_BAND_8 = -55.62979"
,,,"    RADIANCE_ADD_BAND_9 = -11.75608"
,,,"    RADIANCE_ADD_BAND_10 = 0.10000"
,,,"    RADIANCE_ADD_BAND_11 = 0.10000"
,"    REFLECTANCE_MULT_BAND_1 = 1.2367E-03","    REFLECTANCE_MULT_BAND_1 = 1.2068E-03","    REFLECTANCE_MULT_BAND_1 = 2.0000E-05"
,"    REFLECTANCE_MULT_BAND_2 = 2.5847E-03","    REFLECTANCE_MULT_BAND_2 = 1.3579E-03","    REFLECTANCE_MULT_BAND_2 = 2.0000E-05"
,"    REFLECTANCE_MULT_BAND_3 = 2.1996E-03","    REFLECTANCE_MULT_BAND_3 = 1.2861E-03","    REFLECTANCE_MULT_BAND_3 = 2.0000E-05"
,"    REFLECTANCE_MULT_BAND_4 = 2.6623E-03","    REFLECTANCE_MULT_BAND_4 = 2.8554E-03","    REFLECTANCE_MULT_BAND_4 = 2.0000E-05"
,"    REFLECTANCE_MULT_BAND_5 = 1.8027E-03","    REFLECTANCE_MULT_BAND_5 = 1.7971E-03","    REFLECTANCE_MULT_BAND_5 = 2.0000E-05"
,,,"    REFLECTANCE_MULT_BAND_6 = 2.0000E-05"
,"    REFLECTANCE_MULT_BAND_7 = 2.5023E-03","    REFLECTANCE_MULT_BAND_7 = 1.7023E-03","    REFLECTANCE_MULT_BAND_7 = 2.0000E-05"
,,"    REFLECTANCE_MULT_BAND_8 = 2.3336E-03","    REFLECTANCE_MULT_BAND_8 = 2.0000E-05"
,,,"    REFLECTANCE_MULT_BAND_9 = 2.0000E-05"
,"    REFLECTANCE_ADD_BAND_1 = -0.003691","    REFLECTANCE_ADD_BAND_1 = -0.010814","    REFLECTANCE_ADD_BAND_1 = -0.100000"
,"    REFLECTANCE_ADD_BAND_2 = -0.007653","    REFLECTANCE_ADD_BAND_2 = -0.012237","    REFLECTANCE_ADD_BAND_2 = -0.100000"
,"    REFLECTANCE_ADD_BAND_3 = -0.004665","    REFLECTANCE_ADD_BAND_3 = -0.011631","    REFLECTANCE_ADD_BAND_3 = -0.100000"
,"    REFLECTANCE_ADD_BAND_4 = -0.007251","    REFLECTANCE_ADD_BAND_4 = -0.017879","    REFLECTANCE_ADD_BAND_4 = -0.100000"
,"    REFLECTANCE_ADD_BAND_5 = -0.007345","    REFLECTANCE_ADD_BAND_5 = -0.016035","    REFLECTANCE_ADD_BAND_5 = -0.100000"
,,,"    REFLECTANCE_ADD_BAND_6 = -0.100000"
,"    REFLECTANCE_ADD_BAND_7 = -0.008228","    REFLECTANCE_ADD_BAND_7 = -0.015275","    REFLECTANCE_ADD_BAND_7 = -0.100000"
,,"    REFLECTANCE_ADD_BAND_8 = -0.013576","    REFLECTANCE_ADD_BAND_8 = -0.100000"
,,,"    REFLECTANCE_ADD_BAND_9 = -0.100000"
,"  END_GROUP = LEVEL1_RADIOMETRIC_RESCALING","  END_GROUP = LEVEL1_RADIOMETRIC_RESCALING","  END_GROUP = LEVEL1_RADIOMETRIC_RESCALING"
,"  GROUP = LEVEL1_THERMAL_CONSTANTS","  GROUP = LEVEL1_THERMAL_CONSTANTS","  GROUP = LEVEL1_THERMAL_CONSTANTS"
,"    K1_CONSTANT_BAND_6 = 607.76",,
,"    K2_CONSTANT_BAND_6 = 1260.56",,
,,"    K1_CONSTANT_BAND_6_VCID_1 = 666.09",
,,"    K2_CONSTANT_BAND_6_VCID_1 = 1282.71",
,,"    K1_CONSTANT_BAND_6_VCID_2 = 666.09",
,,"    K2_CONSTANT_BAND_6_VCID_2 = 1282.71",
,,,"    K1_CONSTANT_BAND_10 = 774.8853"
,,,"    K2_CONSTANT_BAND_10 = 1321.0789"
,,,"    K1_CONSTANT_BAND_11 = 480.8883"
,,,"    K2_CONSTANT_BAND_11 = 1201.1442"
,"  END_GROUP = LEVEL1_THERMAL_CONSTANTS","  END_GROUP = LEVEL1_THERMAL_CONSTANTS","  END_GROUP = LEVEL1_THERMAL_CONSTANTS"
,"  GROUP = LEVEL1_PROJECTION_PARAMETERS","  GROUP = LEVEL1_PROJECTION_PARAMETERS","  GROUP = LEVEL1_PROJECTION_PARAMETERS"
,"    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM""","    MAP_PROJECTION = ""UTM"""
,"    DATUM = ""WGS84""","    DATUM = ""WGS84""","    DATUM = ""WGS84"""
,"    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84""","    ELLIPSOID = ""WGS84"""
,"    UTM_ZONE = 10","    UTM_ZONE = 11","    UTM_ZONE = 45"
,,"    GRID_CELL_SIZE_PANCHROMATIC = 15.00","    GRID_CELL_SIZE_PANCHROMATIC = 15.00"
,"    GRID_CELL_SIZE_REFLECTIVE = 30.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00","    GRID_CELL_SIZE_REFLECTIVE = 30.00"
,"    GRID_CELL_SIZE_THERMAL = 30.00","    GRID_CELL_SIZE_THERMAL = 30.00","    GRID_CELL_SIZE_THERMAL = 30.00"
,"    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP""","    ORIENTATION = ""NORTH_UP"""
,"    RESAMPLING_OPTION = ""CUBIC_CONVOLUTION""","    RESAMPLING_OPTION = ""CUBIC_CONVOLUTION""","    RESAMPLING_OPTION = ""CUBIC_CONVOLUTION"""
,"    MAP_PROJECTION_L0RA = ""NA""",,
,,"    SCAN_GAP_INTERPOLATION = 2.0",
,"  END_GROUP = LEVEL1_PROJECTION_PARAMETERS","  END_GROUP = LEVEL1_PROJECTION_PARAMETERS","  END_GROUP = LEVEL1_PROJECTION_PARAMETERS"
,"  GROUP = PRODUCT_PARAMETERS","  GROUP = PRODUCT_PARAMETERS",
,"    DATA_TYPE_L0RP = ""TMR_L0RP""",,
,"    CORRECTION_GAIN_BAND_1 = ""CPF""","    CORRECTION_GAIN_BAND_1 = ""CPF""",
,"    CORRECTION_GAIN_BAND_2 = ""CPF""","    CORRECTION_GAIN_BAND_2 = ""CPF""",
,"    CORRECTION_GAIN_BAND_3 = ""CPF""","    CORRECTION_GAIN_BAND_3 = ""CPF""",
,"    CORRECTION_GAIN_BAND_4 = ""CPF""","    CORRECTION_GAIN_BAND_4 = ""CPF""",
,"    CORRECTION_GAIN_BAND_5 = ""CPF""","    CORRECTION_GAIN_BAND_5 = ""CPF""",
,"    CORRECTION_GAIN_BAND_6 = ""INTERNAL_CALIBRATION""",,
,,"    CORRECTION_GAIN_BAND_6_VCID_1 = ""CPF""",
,,"    CORRECTION_GAIN_BAND_6_VCID_2 = ""CPF""",
,"    CORRECTION_GAIN_BAND_7 = ""CPF""","    CORRECTION_GAIN_BAND_7 = ""CPF""",
,,"    CORRECTION_GAIN_BAND_8 = ""CPF""",
,"    CORRECTION_BIAS_BAND_1 = ""CPF""","    CORRECTION_BIAS_BAND_1 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_2 = ""CPF""","    CORRECTION_BIAS_BAND_2 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_3 = ""CPF""","    CORRECTION_BIAS_BAND_3 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_4 = ""CPF""","    CORRECTION_BIAS_BAND_4 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_5 = ""CPF""","    CORRECTION_BIAS_BAND_5 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_6 = ""CPF""",,
,,"    CORRECTION_BIAS_BAND_6_VCID_1 = ""INTERNAL_CALIBRATION""",
,,"    CORRECTION_BIAS_BAND_6_VCID_2 = ""INTERNAL_CALIBRATION""",
,"    CORRECTION_BIAS_BAND_7 = ""CPF""","    CORRECTION_BIAS_BAND_7 = ""INTERNAL_CALIBRATION""",
,,"    CORRECTION_BIAS_BAND_8 = ""INTERNAL_CALIBRATION""",
,,"    GAIN_BAND_1 = ""H""",
,,"    GAIN_BAND_2 = ""H""",
,,"    GAIN_BAND_3 = ""H""",
,,"    GAIN_BAND_4 = ""L""",
,,"    GAIN_BAND_5 = ""H""",
,,"    GAIN_BAND_6_VCID_1 = ""L""",
,,"    GAIN_BAND_6_VCID_2 = ""H""",
,,"    GAIN_BAND_7 = ""H""",
,,"    GAIN_BAND_8 = ""L""",
,,"    GAIN_CHANGE_BAND_1 = ""HH""",
,,"    GAIN_CHANGE_BAND_2 = ""HH""",
,,"    GAIN_CHANGE_BAND_3 = ""HH""",
,,"    GAIN_CHANGE_BAND_4 = ""LL""",
,,"    GAIN_CHANGE_BAND_5 = ""HH""",
,,"    GAIN_CHANGE_BAND_6_VCID_1 = ""LL""",
,,"    GAIN_CHANGE_BAND_6_VCID_2 = ""HH""",
,,"    GAIN_CHANGE_BAND_7 = ""HH""",
,,"    GAIN_CHANGE_BAND_8 = ""LL""",
,,"    GAIN_CHANGE_SCAN_BAND_1 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_2 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_3 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_4 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_5 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_6_VCID_1 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_6_VCID_2 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_7 = 0",
,,"    GAIN_CHANGE_SCAN_BAND_8 = 0",
,"  END_GROUP = PRODUCT_PARAMETERS","  END_GROUP = PRODUCT_PARAMETERS",
,END_GROUP = LANDSAT_METADATA_FILE,END_GROUP = LANDSAT_METADATA_FILE,END_GROUP = LANDSAT_METADATA_FILE
,END,END,END
